datetime,nanosecond,lng,lat,power,type
2014-02-02 15:13:17,814100000,23.773,121.0142,-,IC
2014-02-02 15:13:17,814200000,23.6519,121.2022,-,IC
2014-02-02 15:15:27,746042850,23.593692779541,121.272399902344,-4.107,CG
2014-02-02 15:21:08,711162261,23.3243007659912,120.701683044434,-1.7205,CG
2014-02-02 15:35:36,248100000,23.4976,121.0291,-,IC
2014-02-02 15:35:36,248200000,23.4744,121.0208,-,IC
2014-02-02 15:35:36,248400000,23.4911,121.0174,-,IC
2014-02-02 15:35:36,248500000,23.5143,121.0381,-,IC
2014-02-02 15:35:36,248700000,23.4934,121.0228,-,IC
2014-02-02 15:35:36,248900000,23.4793,121.011,-,IC
2014-02-02 15:35:36,249000000,23.5216,121.0521,-,IC
2014-02-02 15:35:56,826840667,23.3277034759521,120.784790039062,-1.85,CG
2014-02-02 15:37:31,850607691,23.3230018615723,120.799118041992,-3.737,CG
2014-02-02 15:40:36,879698577,23.3365478515625,120.784996032715,4.7175,CG
2014-02-02 15:41:13,944900000,23.5022,120.8442,-,IC
2014-02-02 15:41:13,945200000,23.538,120.8812,-,IC
2014-02-02 15:44:45,938877482,23.2846450805664,120.870452880859,4.107,CG
2014-02-02 15:46:18,24700000,23.2276,120.3887,-,IC
2014-02-02 15:46:18,24800000,23.2476,120.3899,-,IC
2014-02-02 15:47:03,232310397,23.2710838317871,120.906303405762,2.257,CG
2014-02-02 15:47:03,285265052,23.3662929534912,120.812400817871,2.997,CG
2014-02-02 15:47:24,415100000,23.6676,120.8914,-,IC
2014-02-02 15:49:25,858200000,22.9772,120.1224,-,IC
2014-02-02 15:49:54,259100000,23.5012,120.9073,-,IC
2014-02-02 15:50:23,132700000,22.9899,120.1363,-,IC
2014-02-02 15:50:34,303906589,23.3358287811279,120.883186340332,2.109,CG
2014-02-02 15:51:00,847872224,23.3345146179199,120.912368774414,-36.297,CG
2014-02-02 15:52:02,229000000,23.1971,120.3006,-,IC
2014-02-02 15:52:02,287260858,23.3871059417725,121.016937255859,-4.4215,CG
2014-02-02 15:52:56,162456954,23.3711929321289,120.968795776367,2.072,CG
2014-02-02 15:53:31,626100000,23.1609,120.4001,-,IC
2014-02-02 15:54:19,78600000,23.5096,120.9243,-,IC
2014-02-02 15:56:28,483932828,23.3312244415283,120.998054504395,2.2015,CG
