datetime,nanosecond,lat,lng,power,type
2014-04-01 00:05:15,721100000,23.9366,121.1873,-,IC
2014-04-01 00:05:15,721140947,23.9693393707275,121.256706237793,-39.738,CG
2014-04-01 00:05:15,721200000,23.938,121.2089,-,IC
2014-04-01 00:05:15,721300000,23.9197,121.2187,-,IC
2014-04-01 00:05:15,721400000,23.917,121.2083,-,IC
2014-04-01 00:05:15,721700000,23.9897,121.2392,-,IC
2014-04-01 00:13:16,333100000,24.2004,121.3406,-,IC
2014-04-01 00:13:16,333123109,24.1605854034424,121.270202636719,-39.479,CG
2014-04-01 00:13:16,333200000,24.1814,121.327,-,IC
2014-04-01 00:13:16,333300000,24.1793,121.3248,-,IC
2014-04-01 00:13:16,387500000,24.2227,121.382,-,IC
2014-04-01 00:13:16,387600000,24.255,121.4035,-,IC
2014-04-01 00:13:16,387700000,24.2267,121.3636,-,IC
2014-04-01 00:13:16,387800000,24.1886,121.3216,-,IC
2014-04-01 00:13:16,387900000,24.1946,121.3244,-,IC
2014-04-01 00:16:12,226500000,24.1823,121.3091,-,IC
2014-04-01 00:16:12,226547396,24.1369686126709,121.246688842773,6.1975,CG
2014-04-01 00:16:12,226900000,24.1844,121.3001,-,IC
2014-04-01 00:16:12,228200000,24.1789,121.3022,-,IC
2014-04-01 00:16:12,229600000,24.1782,121.3001,-,IC
2014-04-01 00:16:12,291500000,24.2034,121.3223,-,IC
2014-04-01 00:18:13,604327865,24.1475162506104,121.260803222656,-69.0235,CG
2014-04-01 00:19:17,968651609,24.1193199157715,121.33332824707,-5.5315,CG
2014-04-01 00:58:14,723900000,24.0452,121.3842,-,IC
2014-04-01 00:59:06,423900000,24.0508,121.3955,-,IC
2014-04-01 00:59:06,428200000,24.0198,121.4391,-,IC
2014-04-01 00:59:06,442400000,24.0399,121.3932,-,IC
2014-04-01 00:59:06,442500000,24.0448,121.3903,-,IC
2014-04-01 00:59:06,446100000,24.0429,121.4135,-,IC
2014-04-01 00:59:06,450000000,24.0403,121.4229,-,IC
2014-04-01 00:59:06,451100000,24.0358,121.4586,-,IC
2014-04-01 00:59:06,567500000,24.0665,121.4681,-,IC
2014-04-01 00:59:06,567508438,24.0727500915527,121.432907104492,-14.5595,CG
2014-04-01 00:59:06,567600000,24.0848,121.4346,-,IC
2014-04-01 00:59:06,567700000,24.0737,121.4453,-,IC
2014-04-01 00:59:06,567900000,24.0717,121.4394,-,IC
2014-04-01 00:59:56,437400000,24.0354,121.4134,-,IC
2014-04-01 01:24:02,802200000,24.0599,121.4444,-,IC
2014-04-01 01:24:02,802600000,24.0598,121.4345,-,IC
2014-04-01 01:24:02,803700000,24.0527,121.4393,-,IC
2014-04-01 01:24:02,892443306,24.0326061248779,121.30152130127,-35.3905,CG
2014-04-01 01:24:02,892500000,24.0592,121.3882,-,IC
2014-04-01 01:24:02,892600000,24.0627,121.4098,-,IC
2014-04-01 01:24:02,892700000,24.0575,121.427,-,IC
2014-04-01 01:55:13,541700000,24.1043,121.4237,-,IC
2014-04-01 01:56:21,678800000,24.0347,121.4792,-,IC
2014-04-01 01:56:21,678812096,24.0345306396484,121.37850189209,-6.9375,CG
2014-04-01 01:56:21,678900000,24.0347,121.4792,-,IC
2014-04-01 01:56:21,679000000,24.0709,121.4362,-,IC
2014-04-01 01:56:21,679100000,24.0662,121.4433,-,IC
2014-04-01 01:56:21,679600000,24.1024,121.4433,-,IC
2014-04-01 01:56:21,679700000,24.1443,121.3791,-,IC
2014-04-01 01:56:21,680200000,24.0689,121.4396,-,IC
2014-04-01 01:57:10,267573902,23.0848503112793,119.517692565918,15.5955,CG
2014-04-01 01:57:52,215300000,24.1089,121.4513,-,IC
2014-04-01 01:57:52,234300000,24.0766,121.4078,-,IC
2014-04-01 02:08:01,160795157,24.0807285308838,121.374153137207,-38.4985,CG
2014-04-01 02:08:01,160800000,24.1358,121.3796,-,IC
2014-04-01 02:08:01,160900000,24.0656,121.4509,-,IC
2014-04-01 02:08:01,161000000,24.0851,121.4164,-,IC
2014-04-01 02:08:01,161100000,24.0547,121.4524,-,IC
2014-04-01 02:08:01,161200000,24.0724,121.4242,-,IC
2014-04-01 02:08:01,175700000,24.0807,121.4556,-,IC
