datetime,nanosecond,lng,lat,power,type
2014-12-01 19:36:54,19600000,23.3155,120.5961,-,IC
2014-12-02 05:10:34,679100000,22.8883,121.2002,-,IC
2014-12-03 17:24:29,924800000,23.6303,122.2609,-,IC
2014-12-03 17:24:29,924900000,23.6303,122.2609,-,IC
2014-12-03 17:24:29,925000000,23.6318,122.2613,-,IC
2014-12-04 02:50:23,34200000,24.0423,121.0166,-,IC
2014-12-04 08:22:36,469000000,23.0871,121.1414,-,IC
2014-12-04 09:03:38,818500000,22.8921,121.191,-,IC
2014-12-04 09:26:55,874300000,23.2781,121.1233,-,IC
2014-12-04 09:29:47,858500000,23.1402,121.1719,-,IC
2014-12-04 09:49:08,55700000,22.8386,121.184,-,IC
2014-12-04 09:49:14,669300000,22.6432,121.2142,-,IC
2014-12-04 11:47:09,69900000,23.4167,121.101,-,IC
2014-12-04 11:47:09,70000000,23.4205,121.0978,-,IC
2014-12-04 12:10:05,189600000,23.0653,121.1579,-,IC
2014-12-04 12:12:09,34900000,23.1238,121.1447,-,IC
2014-12-04 12:12:09,37500000,23.1225,121.1448,-,IC
2014-12-05 21:25:24,482200000,24.6036,121.5323,-,IC
2014-12-05 21:25:24,482300000,24.5877,121.5183,-,IC
2014-12-05 23:11:41,483900000,24.6225,121.5324,-,IC
2014-12-05 23:11:41,484000000,24.6203,121.5303,-,IC
2014-12-08 09:42:43,421000000,22.3423,122.1819,-,IC
2014-12-08 19:15:20,564400000,24.1797,121.1717,-,IC
2014-12-08 19:15:20,564500000,24.1699,121.1633,-,IC
2014-12-09 18:37:37,256900000,24.1936,121.1433,-,IC
2014-12-09 18:42:02,310800000,24.1961,121.1503,-,IC
2014-12-09 18:42:02,310900000,24.1997,121.1536,-,IC
2014-12-09 18:42:02,311000000,24.1823,121.1506,-,IC
2014-12-09 18:42:29,574500000,23.4518,121.3241,-,IC
2014-12-09 18:42:29,574600000,23.4566,121.3221,-,IC
2014-12-09 19:11:45,210100000,24.1913,121.1536,-,IC
2014-12-09 19:11:45,210200000,24.1937,121.1557,-,IC
2014-12-09 19:11:45,210300000,24.1618,121.157,-,IC
2014-12-09 19:54:22,722300000,24.1678,121.1499,-,IC
2014-12-09 19:54:22,722400000,24.1714,121.1531,-,IC
2014-12-09 21:50:31,26900000,24.136,121.1476,-,IC
2014-12-09 22:29:28,707400000,24.166,121.1449,-,IC
2014-12-09 22:29:28,707500000,24.1637,121.1428,-,IC
2014-12-09 22:30:52,358800000,24.1825,121.1454,-,IC
2014-12-09 22:44:18,793400000,24.1671,121.1414,-,IC
2014-12-09 22:44:18,793500000,24.166,121.1404,-,IC
2014-12-10 16:56:19,473400000,23.2716,121.1086,-,IC
2014-12-10 17:00:54,629500000,23.9176,121.041,-,IC
2014-12-10 17:00:54,629600000,23.9176,121.041,-,IC
2014-12-10 17:15:16,39500000,23.344,121.3325,-,IC
2014-12-10 17:15:16,39600000,23.3348,121.3284,-,IC
2014-12-10 17:15:17,238500000,23.4746,121.3035,-,IC
2014-12-10 17:15:17,307200000,23.3997,121.3178,-,IC
2014-12-10 17:15:17,307300000,23.3997,121.3178,-,IC
2014-12-10 18:00:07,823900000,22.8176,121.2079,-,IC
2014-12-10 18:46:27,277800000,23.1596,121.1542,-,IC
2014-12-10 19:06:58,311900000,22.9385,121.1954,-,IC
2014-12-10 19:33:56,457900000,23.6312,121.0742,-,IC
2014-12-10 20:45:33,679900000,22.816,121.1693,-,IC
2014-12-11 01:53:40,714700000,23.7808,121.0602,-,IC
2014-12-11 07:22:21,212300000,23.9755,121.0229,-,IC
2014-12-15 20:55:46,254600000,24.0282,121.268,-,IC
2014-12-17 17:28:45,447500000,24.0377,121.4883,-,IC
2014-12-17 17:28:45,447600000,24.0412,121.4798,-,IC
2014-12-17 20:08:06,993200000,23.1372,121.1649,-,IC
2014-12-19 03:33:03,960400000,25.2035,121.5859,-,IC
2014-12-19 03:33:03,960600000,25.2103,121.5943,-,IC
2014-12-19 16:10:28,239700000,23.1438,121.1314,-,IC
2014-12-19 18:13:08,892100000,24.1497,121.4965,-,IC
2014-12-19 18:13:11,823600000,24.162,121.4874,-,IC
2014-12-19 18:13:12,41400000,24.1604,121.4882,-,IC
2014-12-19 21:31:12,470000000,24.5926,121.52,-,IC
2014-12-19 21:31:12,470100000,24.5859,121.5141,-,IC
2014-12-24 17:09:39,11600000,24.3526,121.145,-,IC
2014-12-26 10:27:18,157400000,23.2238,121.1262,-,IC
2014-12-26 10:27:20,957300000,23.2113,121.1536,-,IC
2014-12-26 10:27:21,725800000,23.227,121.1143,-,IC
2014-12-26 17:33:05,876400000,23.125,121.1272,-,IC
2014-12-27 17:29:47,371200000,23.2703,121.1193,-,IC
2014-12-27 20:06:40,89600000,23.1531,121.1236,-,IC
2014-12-28 05:02:23,594300000,22.7673,121.1785,-,IC
2014-12-28 06:34:48,213300000,22.9015,121.1754,-,IC
2014-12-28 12:46:57,416800000,23.1744,121.152,-,IC
2014-12-28 16:38:42,585900000,23.2703,121.1244,-,IC
2014-12-28 17:10:40,408800000,24.1201,121.1628,-,IC
2014-12-28 17:10:40,408900000,24.1164,121.1599,-,IC
2014-12-28 18:35:46,427900000,24.0348,121.0204,-,IC
2014-12-28 22:07:18,384000000,23.1634,121.1368,-,IC
2014-12-28 22:07:18,384100000,23.1637,121.1367,-,IC
